date,open,close,high,low,volume,money
2007-11-15,5391.02,5365.27,5453.74,5338.9,4781941900,80951217498
2007-11-16,5273.08,5316.27,5335.51,5224.31,3738733100,61636813375
2007-11-19,5325.3,5269.82,5333.09,5240.42,4109773100,63156668426
2007-11-20,5230.74,5293.7,5338.17,5158.54,4905739800,79327370645
2007-11-21,5307.79,5214.23,5344.93,5206.57,4123160900,65960121678
2007-11-22,5113.88,4984.16,5154.86,4969.89,4037033000,64731749519
2007-11-23,4946.26,5032.13,5034.23,4896.99,3087296200,50207938676
2007-11-26,5102.53,4958.85,5124.89,4952.43,3675579700,60055135786
2007-11-27,4919.91,4861.11,4947.08,4857.04,3083386400,52767856410
2007-11-28,4870.84,4803.39,4907.76,4778.73,3275675700,53258090310
2007-11-29,4870.86,5003.33,5011.19,4814.78,5007154500,81196484473
2007-11-30,4993.74,4871.78,4993.74,4861.86,4331466200,70500393745
2007-12-03,4838.56,4868.61,4899.67,4798.01,5375077500,70035318108
2007-12-04,4882.15,4915.89,4971.4,4882.15,4283576600,60774976314
2007-12-05,4917.36,5042.65,5052.75,4893.32,5429978600,79741842419
2007-12-06,5055.84,5035.07,5065.51,4995.47,4315931100,64467198004
2007-12-07,5038.48,5091.76,5096.8,5021.37,4996157400,71663449290
2007-12-10,5010.83,5161.92,5168.76,4990.72,6881788900,1.07E+11
2007-12-11,5180.54,5175.08,5209.7,5103.75,6684842700,1.06E+11
2007-12-12,5148.25,5095.54,5149.93,5054.56,7215622700,1.13E+11
2007-12-13,5078.18,4958.04,5095.15,4954.36,6728332400,1.05E+11
2007-12-14,4899.75,5007.91,5011.2,4860.16,5305272700,81629334280
2007-12-17,5007.28,4876.76,5007.35,4874.62,6354672200,1.02E+11
2007-12-18,4856.47,4836.17,4905.49,4812.16,4055804700,64859941016
2007-12-19,4878.07,4941.78,4960.42,4868.35,5627577500,86406307921
2007-12-20,4965.29,5043.53,5050.78,4923.3,5774268900,87842464915
2007-12-21,5017.19,5101.78,5112.39,5013.76,6614270500,1.03E+11
2007-12-24,5132.91,5234.26,5284.34,5104.65,8508042200,1.40E+11
2007-12-25,5233.18,5201.18,5254.4,5178.8,7102362400,1.25E+11
2007-12-26,5209.03,5233.35,5262.59,5158.76,7445862800,1.23E+11
2007-12-27,5248.22,5308.89,5316.52,5203.5,8732418400,1.47E+11
2007-12-28,5320.01,5261.56,5336.5,5248.69,7718703800,1.34E+11
2008-01-02,5265,5272.81,5295.02,5201.89,7656660900,1.33E+11
2008-01-03,5269.8,5319.86,5321.46,5211.05,9851032300,1.70E+11
2008-01-04,5328.41,5361.57,5372.46,5318.46,8087523800,1.46E+11
2008-01-07,5357.45,5393.34,5403.35,5332.6,9193300100,1.62E+11
2008-01-08,5414.56,5386.53,5480.07,5344.65,10247786300,1.85E+11
2008-01-09,5365.22,5435.81,5437.76,5346.85,7680586200,1.39E+11
2008-01-10,5449.16,5456.54,5483.83,5407.31,9655328500,1.74E+11
2008-01-11,5471.39,5484.68,5500.06,5423.81,8772475000,1.56E+11
2008-01-14,5507.58,5497.9,5522.78,5456.93,7871409000,1.42E+11
2008-01-15,5503.93,5443.79,5505.03,5405.6,8071950600,1.52E+11
2008-01-16,5395.28,5290.61,5396.04,5288.77,8927834100,1.62E+11
2008-01-17,5235.91,5151.63,5312.29,5039.79,9894195200,1.75E+11
2008-01-18,5141.37,5180.51,5187.6,5093.13,6863562500,1.18E+11
2008-01-21,5188.8,4914.44,5200.93,4891.28,7564395800,1.30E+11
2008-01-22,4818,4559.75,4818,4511.95,9249135100,1.55E+11
2008-01-23,4572.9,4703.05,4705.07,4510.5,8796397300,1.40E+11
2008-01-24,4753.44,4717.73,4767.8,4625.46,9003815800,1.49E+11
2008-01-25,4716.98,4761.69,4806.89,4657.71,7792837000,1.29E+11
2008-01-28,4720.56,4419.29,4720.56,4409.08,6935025700,1.09E+11
2008-01-29,4426.27,4457.94,4517.6,4389.52,5035622000,79564816502
